Product Description,Category 1,Category 2,Category 3,Category 4,Category 5,Confidence Score
SAVSOL AUTOGEAR EP 90 GL 4,Mro Supplies,Commercial & Military & Private Vehicles & Their Accessories & Components,Automotive Tools / Equipments,Automotive Tools / Equipments,Automotive Tools / Equipments,0.5682695750886366
CONTRACTOR GATE PASS 11X 8.5 CM,Mro Supplies,Building Supplies,Structures & Building & Construction & Manufacturing Components & Supplies,Gates,Gate,0.6894318493374998
1Steel Cut wire Shots  Size 0.60 mm,Mro Supplies,Tools & General Machinery,H& Tools,Cutting & Crimping & Punching Tools,Wire Cutters,0.6974779285049018
LIQUID CARBON DI-OXIDE,Mro Supplies,Industrial Gases,Carbon Dioxide,Carbon Dioxide,Carbon Dioxide,0.6738747202874066
Welding Wire 1.2 mm-15kg-Lincoln,Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Welding & Soldering & Brazing Machinery & Accessories & Supplies,Welding Wire,Welding Wire,0.8395086640441077
TORCH HOSE PACKAGE 2 X 500/2M- 11D057,Mro Supplies,Manufacturing Components & Supplies,Hoses,Hoses,Hoses,0.648982731089038
Ammonia Gass for Nitriding Furnace,Mro Supplies,Industrial Gases,Inert Gas Mixtures,Inert Gas Mixtures,Ammonia,0.7452612609100496
THINNER FOR PU PRIMER,Mro Supplies,Manufacturing Components & Supplies,Paints & Primers & Finishes, Paints & Primers, Paints & Primers,0.6358549946122386
Steel Shot :  S 390,Mro Supplies,Mineral & Textile & Inedible Plant & Animal Materials,Minerals & Ores & Metals,Base Metals,Steel,0.7294024316707141
STEEL SHOT  S-330 -SAEJ444,Mro Supplies,Mineral & Textile & Inedible Plant & Animal Materials,Minerals & Ores & Metals,Base Metals,Steel,0.7607796990997178
EPOXY THINNER,Mro Supplies,Manufacturing Components & Supplies,Adhesives & Sealants,Adhesives,Epoxy Bond,0.7543782291855526
Grinding Wheel 125 mm  : D14,Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Lapidary Machinery & Equipment,Grinding & S&ing & Polishing Equipment & Supplies,Grinding Wheels,0.7433057552858487
Painting Suit With Cap,Mro Supplies,Food & Restaurant Supplies & Equipment,Pantry Supplies,Pantry Supplies,Cap,0.7767557029559262
LEAD THROUGH TWIN ONE HOSE 21E044 IGM,Mro Supplies,Manufacturing Components & Supplies,Hoses,Hoses,Hoses,0.6425900509686359
"DOUBLE FILT WELDER'S GAS MASK-7093 ""3M""",Mro Supplies,Safety Supplies,Safety Supplies,Safety Supplies,Masks,0.6161812560025206
"cable for console K5,20m(B423-020)",Mro Supplies,Electrical,Wire/ Cable/ Busbar,Cable,Cable,0.6787791004823721
OXYGIN PIPE LINE SUPPLY,Mro Supplies,"Pipes, Valves & Fittings",Pipes,Pipes,Pipes,0.6948130768305351
Liquid Nitrogen. for Fabrication,Mro Supplies,Industrial Gases,Inert Gas Mixtures,Inert Gas Mixtures,Nitrogen,0.7207614394622273
T THERMOCOUPLE CLASS 1 DIA 2.3MM 100L LE,Mro Supplies,Laboratory & Measuring & Observing & Testing Equipment,Measuring & Observing & Testing Instruments,Temperature & Heat Measuring Instruments,Thermocouples,0.7032388378341615
Parts Manual ZX220LC M,Mro Supplies,Oem Equipment,Oem Equipment / Machine,Oem Equipment / Machine,Oem Equipment / Machine,0.561873030206499
"INDASA 5"" NO HOLE PSA DISC # 320",Mro Supplies,Manufacturing Components & Supplies,Grinding & Polishing & Smoothing Materials,Discs,Discs,0.5604409892563395
SAVSOL R2U COOLANT 30:70,Mro Supplies,Chemicals & Lubes,Coolants,Coolants,Coolants,0.7092839374187362
HEAVY DUTY GAS NOZZELE401-6-62,Mro Supplies,Industrial Gases,Inert Gas Mixtures,Inert Gas Mixtures,Refrigerant Gas,0.6241845618241966
"INDASA 5"" NO HOLE PSA DISC # 120- Sumax",Mro Supplies,Manufacturing Components & Supplies,Grinding & Polishing & Smoothing Materials,Discs,Discs,0.5410616514656639
"INDASA 5"" NO HOLE PSA DISC # 120",Mro Supplies,Manufacturing Components & Supplies,Grinding & Polishing & Smoothing Materials,Discs,Discs,0.5562749701060129
WELDING WIRE 1.2MM-250KG-LINCOLN,Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Welding & Soldering & Brazing Machinery & Accessories & Supplies,Welding Wire,Welding Wire,0.8432612619926428
Light Weight Auto Coat Polyester Putty,Mro Supplies,Safety Supplies,H& Protection,Gloves,Chemical Resistant Gloves,0.5614732621346888
GAS DISSOLVED ACETYLENE,Mro Supplies,Industrial Gases,Inert Gas Mixtures,Inert Gas Mixtures,Acetylene,0.8089376864540923
ELECTRODE ( 431 - 0PS ) 40016358,Mro Supplies,Electrical,Electrical Systems & Lighting & Components & Accessories & Supplies,Electrical Equipment & Components & Supplies,Electrodes,0.7408437375089931
Paint Stripper Kem Ecostrip S 7001,Mro Supplies,Manufacturing Components & Supplies,Paints & Primers & Finishes,Paint Applicators & Painting Accessories,Paint Marker,0.5970974074494266
GOUGING CARBON ROD 08 X 330 MM -CUTARC,Mro Supplies,Manufacturing Components & Supplies,Bearings & Bushings & Wheels & Gears,Bearings,Rod,0.6510142828984486
Polythene (Transparent),Mro Supplies,"Material H&ling, Storage & Packaging",Containers & Storage,Plastics,Plastics,0.6515079006886845
"MIG TORCH 500A ,5M-TREGASKISS",Mro Services,Maintenance Services,Welding & Brazing & Soldering Services,Welding Services,Welding Services,0.5433595589854658
TML Strain Gauge Type UFLA-2-11-5L,Mro Supplies,Fluid Power,Gauges,Gauges,Gauges,0.7197375008753774
P MODULE DPCKATZE -32-230 V AC(71941245),Mro Supplies,Electrical,Electrical Systems & Lighting & Components & Accessories & Supplies,Electrical Equipment & Components & Supplies,Modules,0.6308331266897236
Sealant Sikaflex 216 steel grey 600 ml U,Mro Supplies,Manufacturing Components & Supplies,Adhesives & Sealants,Sealants,Sealants,0.7423359993041865
METHANOL IMP/RCF,Mro Supplies,Industrial Gases,Inert Gas Mixtures,Inert Gas Mixtures,Refrigerant Gas,0.5142896048312757
MASKING TAPE 50MM WIDE,Mro Supplies,Manufacturing Components & Supplies,Adhesives & Sealants,Adhesives & Sealants,Tape,0.7328504929687517
Safety Shoe Liberty Make,Mro Supplies,Safety Supplies,Safety Supplies,Safety Shoes,Safety Shoes,0.796976451756148
SURFIX STRIP 801,Mro Supplies,Building Supplies,Structures & Building & Construction & Manufacturing Components & Supplies,Doors & Windows & Glass,Panel,0.5231252743307608
CONT TIP  TENDEM   1.2 DIA 403 - 20 - 45,Mro Supplies,Manufacturing Components & Supplies,Adhesives & Sealants,Adhesives & Sealants,Tape,0.5121801320875333
P P COROGATEED PLASTIC BIN 76X55X46 CM,Mro Supplies,"Material H&ling, Storage & Packaging",Containers & Storage,Plastics,Plastics,0.6420990160588055
MIG WELDING TORCH SGB5012-45Q,Mro Services,Maintenance Services,Welding & Brazing & Soldering Services,Welding Services,Welding Services,0.6753200341294693
"PP BOX-950 GSM ,BOX SIZE- 500X400X500 MM",Mro Supplies,"Material H&ling, Storage & Packaging",Containers & Storage,Boxes,Boxes,0.5749751652019608
TATA HITACHI AUTO GEAR 85W140 LS GL5,Mro Supplies,Commercial & Military & Private Vehicles & Their Accessories & Components,Automotive Tools / Equipments,Automotive Tools / Equipments,Automotive Tools / Equipments,0.629860567092085
TRANSFORMER G20 FLOODLIGHT [200WX2]400W,Mro Supplies,Electrical,Electrical Systems & Lighting & Components & Accessories & Supplies,"Lighting Fixtures, Accessories & Lamp Components",Lamp Ballasts & Lamp Transformers,0.6505754862426024
DEGREASING  CHEMICAL LEQUID ETCHINOL S 1,Mro Supplies,Cleaning Equipment & Supplies,Cleaning & Janitorial Supplies,Cleaning & Disinfecting Solutions,Degreaser,0.6061927400622796
Impeller with hub&Shaft-BC–SW–730(APS),Mro Supplies,Pumps & Compressors,Pump Parts & Accessories,Pump Impeller,Pump Impeller,0.713123618441318
SHAPER CUTTER 4 MPA27D T38X 1025787,Mro Supplies,Tools & General Machinery,H& Tools,Cutting & Crimping & Punching Tools,Cutters,0.6913245794537407
Coupler 10-358-0232. for R&D,Mro Supplies,Manufacturing Components & Supplies,Hardware & Fasteners,Hardware,Couplings,0.6325559291880715
coupler 10-358-6281 (with O-ring). R&D,Mro Supplies,Manufacturing Components & Supplies,Hardware & Fasteners,Hardware,Couplings,0.6285867339656983
MULTIGRADE ENGINE OIL (New. TS00007),Mro Supplies,Chemicals & Lubes,Chemicals & Lubes,Chemicals & Lubes,Oil,0.7189154638694336
GENUINE HYDRAULIC OIL SUPER EX 46 HN,Mro Supplies,Chemicals & Lubes,Chemicals & Lubes,Chemicals & Lubes,Hydraulic Oil,0.7650164553035771
"Throttling valve, 40-90-8501 DRK 1-11/10",Mro Supplies,"Pipes, Valves & Fittings",Valves,Valve Safety,Pressure Relief Valve,0.601475498017468
HEAVY DUTY CLEANER FOR BEARING ASVCS70,Mro Supplies,Manufacturing Components & Supplies,Bearings & Bushings & Wheels & Gears,Bearings,Bearings,0.6216613388921004
RUN OFF TAB (16x40x30 mm),Mro Supplies,Published Products,Signage & Accessories,Display Board,Display Board,0.5309224083870346
"Rubber pad for track frame, Width 180, T",Mro Supplies,Building Supplies,Structures & Building & Construction & Manufacturing Components & Supplies,Doors & Windows & Glass,Track,0.6168566967665051
COOLANT CUMI FEERO 216,Mro Supplies,Chemicals & Lubes,Coolants,Coolants,Coolants,0.6604626009947937
SYN KNITTED GLOVES PU PLAM 13G,Mro Supplies,Safety Supplies,H& Protection,Gloves,Gloves,0.7124848757948213
"GOUGING TORCH GT801,LENGTH-2MTR,800AMPS",Mro Supplies,Power Generation & Distribution Machinery & Accessories,Power Generation & Distribution Machinery & Accessories,Power Sources,Generator,0.5597578072737777
FINECLEANER 4440 B  (FC-4440B,Mro Supplies,Furniture & Furnishings,Faucet,Faucet,Faucet,0.5340690636100349
"Needle Scaler, 182LNA1,Make : Ingersoll",Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Industrial Machine Tools,Measuring Scale,Measuring Scale,0.596906539332626
ROLL OF FILTERATION PAPER 150gr/M2nt 150,Mro Supplies,Filtration,Industrial Filtering & Purification,Filter Media,Filter Papers,0.7191284604340549
"INSERT; CCMT120408-M5,TP2501",Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Metal Cutting Machinery & Accessories,Metal Cutting Machine Attachments,Inserts,0.7143951616167953
Frequency inverter: DIC4-014-C-0006-01,Mro Supplies,Electrical,Power Supply,Regulators/ Converters/ Inverters,Regulators/ Converters/ Inverters,0.7034510824723307
 TRI AXIS ACCELEROMETER (PCB 356A43) WIT,Mro Supplies,Power Generation & Distribution Machinery & Accessories,Power Generation & Distribution Machinery & Accessories,Batteries & Generators & Kinetic Power Transmission,Friction Tester,0.5601612312723689
"STRAIN GAUGE,UFLA-2-11-10L,LENGTH 2MM",Mro Supplies,Fluid Power,Gauges,Gauges,Gauges,0.7022298452155861
DUNGRAY SIZE LARGE(L),Mro Supplies,Apparel & Luggage & Personal Care Products,Clothing,Clothing,Clothing,0.5659092871462733
NOZZLE 2.9(431 - 0PS ) 40017233,Mro Supplies,Distribution & Conditioning Systems & Equipment & Components,Fluid & Gas Distribution,Hardware & Fittings,Nozzle,0.7387466706261666
Threebond-1102 (200 gm),Mro Supplies,Building Supplies,Structures & Building & Construction & Manufacturing Components & Supplies,Gates,Gate,0.4891716170858018
ENGINE CONTROL MODULE CONT GP 2MVA DG,Mro Supplies,Electrical,Electrical Systems & Lighting & Components & Accessories & Supplies,Electrical Equipment & Components & Supplies,Modules,0.6352830226530026
QUICKLEAD WIRELINER 15 FT,Mro Supplies,Manufacturing Components & Supplies,Rope & Chain & Cable & Wire & Strap,Ropes,Wire Rope,0.5795245394641408
Z197 UNICLEAN : 700 Ml Pack can MAKE Sta,Mro Supplies,Chemicals & Lubes,Resin & Rosin & Rubber & Foam & Film & Elastomeric Materials,Resins & Rosins & Other Resin Derived Materials,Resins,0.536663379436441
E/F PU TOP COAT DARK GREY,Mro Supplies,Apparel & Luggage & Personal Care Products,Clothing,Clothing,Clothing,0.5372442373596371
SHAPER CUTTER 5 MOD 27 DEG PA TB02616,Mro Supplies,Tools & General Machinery,H& Tools,Cutting & Crimping & Punching Tools,Cutters,0.6835250069939589
"Wire rope D=9,0 sZ bk Sparkline 330 1099",Mro Supplies,Manufacturing Components & Supplies,Rope & Chain & Cable & Wire & Strap,Ropes,Wire Rope,0.7436205260996286
ANANBOND 666 310 GMS TN00005,Mro Services,Equipment Maintenance & Repair,Motor & Generator Maintenance & Repair,Motor & Generator Maintenance & Repair,Motor & Generator Maintenance & Repair,0.45565542353784527
WHITE COTTON WASTE FINE QUALITY FOR GEAR,Mro Supplies,Apparel & Luggage & Personal Care Products,Clothing,Clothing,Clothing,0.593163294656775
GRINDING WHEEL(PMT) 600X120X203.2 19A60K,Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Lapidary Machinery & Equipment,Grinding & S&ing & Polishing Equipment & Supplies,Grinding Wheels,0.7434106996419808
Degreasing Chemical Phosclean 129,Mro Supplies,Cleaning Equipment & Supplies,Cleaning & Janitorial Supplies,Cleaning & Disinfecting Solutions,Degreaser,0.5888330222126111
FINECLEANER 4440 A  (FC-4440A),Mro Supplies,Oem Equipment,Oem Equipment / Machine,Oem Equipment / Machine,Oem Equipment / Machine,0.5506103732985078
Torch for Super0400 plus/434V(20101804),Mro Supplies,Electrical,Electrical Systems & Lighting & Components & Accessories & Supplies,"Lighting Fixtures, Accessories & Lamp Components",Flashlight,0.5876350522557897
Zircon Fiber Disc grit P24 D125mm Make M,Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Grinding & Polishing & Smoothing Materials,Abrasives & Abrasive Media,Abrasive Discs,0.6216311039482726
"RUBBER SLEEVE, DIA 100, THICKNESS1.5~2,",Mro Supplies,Power Generation & Distribution Machinery & Accessories,Motors & Components,Motors & Components,Sleeve,0.6548237703676992
COMPRESSION FITTING PT1/4,Mro Supplies,Electrical,Distribution & Conditioning Systems & Equipment & Components,Fluid & Gas Distribution,Hose Fitting,0.6302016395158028
VASCOMILL 35,Mro Supplies,"Material H&ling, Storage & Packaging",Material H&ling Machinery & Equipment,Lifting Equipment & Accessories,Vaccum Cylinder,0.5353880614097206
RUBBER SHEET 1M*6M,Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Plastic & Rubber Products,Plastic & Rubber Products,Plastic & Rubber Products,0.56183364302869
Black matti Trouser,Mro Supplies,Apparel & Luggage & Personal Care Products,Clothing,Clothing,Clothing,0.6377594635984286
Welder Apron Make KEL,Mro Supplies,Safety Supplies,Safety Clothes,Safety Clothes,Apron,0.7195279419334175
FINECLEANER E7002 (FC-E7002)  Low Temper,Mro Supplies,Electrical,Distribution & Conditioning Systems & Equipment & Components,Pipe Piping & Pipe Fittings,Piston & Flanges,0.5740043613155664
NOZZLE 2.3( 431 - 0PS ) 40016360,Mro Supplies,Distribution & Conditioning Systems & Equipment & Components,Fluid & Gas Distribution,Hardware & Fittings,Nozzle,0.7370267913228081
compensating wire( forT)(class1)100m.R&D,Mro Supplies,Electrical,Wire/ Cable/ Busbar,Wire,Wire,0.6452568685116536
ANTICORIT VCI UNI O 40,Mro Supplies,Electronics & Instrumentation,Integrated Circuits/ Microprocessors,Integrated Circuits/ Microprocessors,Integrated Circuits/ Microprocessors,0.48512997534024943
Rotary union 35-90#99 Z15253 SNK,Mro Supplies,Power Generation & Distribution Machinery & Accessories,"Couplings, Collars & Universal Joints","Couplings, Collars & Universal Joints",Rotary Joint,0.6798615059037011
BLENDING THINNER AK350 DUPONT,Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Industrial Process Machinery & Equipment & Supplies,Blending System,Blending System,0.6051785916086152
Servo System 68 (Hydraulic Oil),Mro Supplies,Chemicals & Lubes,Chemicals & Lubes,Chemicals & Lubes,Hydraulic Oil,0.7559264617469944
"TAK-RAG(PAINTING AIDS)32CM X 90+2CM,G",Mro Supplies,Building Supplies,Building & Construction Machinery & Accessories,Painting,Painting,0.6599320562186379
BALLAST STONE (WATER BOUND MACADAM 40-60,Mro Supplies,Electrical,Electrical Systems & Lighting & Components & Accessories & Supplies,"Lighting Fixtures, Accessories & Lamp Components",Ballast,0.7175796115905686
Outer radiant tube SQF-1000,Mro Supplies,Electrical,Distribution & Conditioning Systems & Equipment & Components,Tubes Tubing & Tube Fittings,Tubes,0.59784984381404
Tyre Swivel Type 250MM Model No; IV-N27-,Mro Services,Equipment Maintenance & Repair,Tire Maintenance & Repair,Tire Maintenance & Repair,Tire Maintenance & Repair,0.5791602317935374
DUNGRAY SIZE EXTRA LARGE(XL),Mro Supplies,Apparel & Luggage & Personal Care Products,Clothing,Clothing,Clothing,0.5668982190831596
Firmus FL 400W-Lighting Technologies,Mro Supplies,Electrical,Electrical Systems & Lighting & Components & Accessories & Supplies,"Lighting Fixtures, Accessories & Lamp Components",Lamps/ Lights,0.6691447539329186
LUG INSERT FOR 10.3MMA,Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Metal Cutting Machinery & Accessories,Metal Cutting Machine Attachments,Inserts,0.6846977506948619
"Hitachi angel grinder 5"" : G13SB3",Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Lapidary Machinery & Equipment,Grinding & S&ing & Polishing Equipment & Supplies,Grinding Wheels,0.5695736465623416
"Angular Geared Motor,Demag,CT, 5T Hoist",Mro Supplies,Manufacturing Components & Supplies,Bearings & Bushings & Wheels & Gears,Gears,Gears,0.6400552009530703
ALO CLOTH SLEEVE 1.1/2DIAX1IN60GRIT,Mro Supplies,Power Generation & Distribution Machinery & Accessories,Motors & Components,Motors & Components,Sleeve,0.695386988699732
pre filter 5N11 N95 (3M),Mro Supplies,Hvac,Refrigeration,Refrigeration,Filter,0.6333048985381393
Tyre Fixed Type 250MM Model No; IV-N27-0,Mro Services,Equipment Maintenance & Repair,Tire Maintenance & Repair,Tire Maintenance & Repair,Tire Maintenance & Repair,0.6185758589626544
INSERT TIP 870-2700-27-PM4234,Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Metal Cutting Machinery & Accessories,Metal Cutting Machine Attachments,Inserts,0.6956631942034248
PALBOND L3020R (PB-L3020R),Mro Supplies,Building Supplies,Structures & Building & Construction & Manufacturing Components & Supplies,Structural Components & Basic Shapes,Pressure Plate,0.5453848476179832
DUNGRAY SIZE MEDIUM,Mro Supplies,Apparel & Luggage & Personal Care Products,Clothing,Clothing,Clothing,0.5268228686067171
coupler 10-358-6151. for R&D of BS-4,Mro Supplies,Manufacturing Components & Supplies,Hardware & Fasteners,Hardware,Couplings,0.615969633299445
PALBOND L3020M (PB-L3020M),Mro Supplies,Building Supplies,Structures & Building & Construction & Manufacturing Components & Supplies,Structural Components & Basic Shapes,Pressure Plate,0.5254150365998185
Servo  System HL P46,Mro Supplies,Chemicals & Lubes,Chemicals & Lubes,Chemicals & Lubes,Lubrication System,0.649477888721943
Run Off Plate - 25 MM X 70 MM,Mro Supplies,Building Supplies,Structures & Building & Construction & Manufacturing Components & Supplies,Structural Components & Basic Shapes,Plate,0.7165488743021708
Coolant Ultra 20L IR Compressor 38459582,Mro Supplies,Pumps & Compressors,Compressors,Compressors,Compressors,0.6706648137618072
Welding Hand Glove (L),Mro Supplies,Safety Supplies,H& Protection,Gloves,Gloves,0.7799934258731871
"Ply Sheet ( 22""x30"" ) for packing Box",Mro Supplies,"Office Equipment, Furniture, & Supplies",Office Supplies,Office Supplies,Packing Tape,0.6482359458204893
Submersible Pump-SEG.40.15.2.50B-Grundfo,Mro Supplies,Pumps & Compressors,Pumps,Water Pumps,Water Pumps,0.6710518407605486
PREPALENE ZS (PL-ZS),Mro Supplies,Manufacturing Components & Supplies,Paints & Primers & Finishes, Paints & Primers, Paints & Primers,0.5416938472376251
4 WAY PENETRANT 3 M,Mro Supplies,Laboratory & Measuring & Observing & Testing Equipment,Measuring & Observing & Testing Instruments,Electrical Measuring & Testing Equipment & Accessories,Meter,0.5120095265765321
Variocut G 600 HC,Mro Supplies,Chemicals & Lubes,Chemicals & Lubes,Chemicals & Lubes,Grease,0.5050992071876746
"BACKUP PAD 5""- BOSCH",Mro Supplies,"Office Equipment, Furniture, & Supplies",Office Supplies,Printing & Writing Paper,Layer Pad,0.5631580371888404
3M 9004V VALVED DUST/MIST P1 RESPIRATOR,Mro Supplies,Safety Supplies,Respirators,Respirators,Respirators,0.7168513784006803
BPS50 PCB-4.070.658.Z FRONIOUS WELDING,Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Welding & Soldering & Brazing Machinery & Accessories & Supplies,Welding Wire,Welding Wire,0.6101629838966239
HEAVYDUTY RETURNING HEAD 404-30,Mro Supplies,Building Supplies,Structures & Building & Construction & Manufacturing Components & Supplies,Structural Components & Basic Shapes,Pickup Head,0.5336924619594087
ANANBOND 111 250 ML TN00003,Mro Supplies,"Material H&ling, Storage & Packaging",Containers & Storage,Mixing Tank,Mixing Tank,0.49927589944747386
DEBIOGRADABLE CLEANING SOLUTION VPCL-414,Mro Supplies,Cleaning Equipment & Supplies,Janitorial Equipment,Floor Machines & Accessories,Wet Or Dry Combination Vacuum Cleaners,0.5960139629520196
PART MANUAL ZX370GI,Mro Supplies,Oem Equipment,Oem Equipment / Machine,Oem Equipment / Machine,Oem Equipment / Machine,0.5322364583587229
TEACH PENDENT CABLE FOR K5 25M 27B423025,Mro Supplies,Electrical,Wire/ Cable/ Busbar,Cable,Cable,0.6490034047434187
DFT Meter (Elcometer 456) Model A456CFBI,Mro Supplies,Laboratory & Measuring & Observing & Testing Equipment,Measuring & Observing & Testing Instruments,Electrical Measuring & Testing Equipment & Accessories,Meter,0.7323431239872402
BATTERY 12V 65AH VRLA SMF AMARARAJA,Mro Supplies,Electrical,Batteries & Battery Accessories,Batteries,Batteries,0.6235142813559391
Com Paint Weatherproof Taxi Orange Spray,Mro Supplies,Building Supplies,Building & Construction Machinery & Accessories,Painting,Painting,0.6279524898587397
Roller Assy.With Pin Dia-6mm.   ED Oven ,Mro Supplies,"Material H&ling, Storage & Packaging",Material H&ling Machinery & Equipment,Conveyors & Accessories,Roller,0.7127946868202358
Switch Board PCB G3734-3. LINCOLN,Mro Supplies,Electrical,Circuit/ Panel/ Switch Boards,Circuit/ Panel/ Switch Boards,Circuit/ Panel/ Switch Boards,0.6850140062449432
 Focal Probe SA5Z10N (SF8-20 mm),Mro Supplies,Electrical,Electrical Systems & Lighting & Components & Accessories & Supplies,Electrical Equipment & Components & Supplies,Sensors,0.5887028463414621
ANANBOND 610 100 GMS TN00001,Mro Supplies,Manufacturing Components & Supplies,Pneumatic & Hydraulic & Electric Control Systems,Cylinder,Cylinder,0.48312231717828147
Com-Paint 211(HG Clear Lac-SS85)300g/can,Mro Supplies,Building Supplies,Building & Construction Machinery & Accessories,Painting,Painting,0.5832816359058297
CARBON GOUGING ROD 10MM 350MM,Mro Supplies,Manufacturing Components & Supplies,Bearings & Bushings & Wheels & Gears,Bearings,Rod,0.6243587038058929
Transmax offroad  30 CASTROL,Mro Supplies,Chemicals & Lubes,Chemicals & Lubes,Chemicals & Lubes,Gear Oil,0.5297515198511166
GRINDING WHEEL CBC 120P100BX31,Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Lapidary Machinery & Equipment,Grinding & S&ing & Polishing Equipment & Supplies,Grinding Wheels,0.7449834752840454
"0033568400- MAD2 PCB, Cloos",Mro Supplies,Manufacturing Components & Supplies,Hardware & Fasteners,Fastener,Clamps,0.532814177147477
"LT Travel Drive SF 25224313, Sparkline",Mro Supplies,Power Generation & Distribution Machinery & Accessories,Power Generation & Distribution Machinery & Accessories,Batteries & Generators & Kinetic Power Transmission,Cone Drive,0.5171194370771149
3M 6200 HALF FACE RESPIRATOR WITH  FLTR,Mro Supplies,Safety Supplies,Respirators,Respirators,Respirators,0.6949698143717263
KEM ECORITE PB 6020(COAGULANT),Mro Supplies,Manufacturing Components & Supplies,Adhesives & Sealants,Sealants,Sealants,0.545512448696947
SSA-8/100 ELMO SERVO CARD WGT 350,Mro Supplies,Electrical,Power Supply,Regulators/ Converters/ Inverters,Regulators/ Converters/ Inverters,0.5195353842958617
WELDING WIRE 1.2 DIA 250 KG DRUM,Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Welding & Soldering & Brazing Machinery & Accessories & Supplies,Welding Wire,Welding Wire,0.783718570073988
Parts Manual ZX220LC GI,Mro Supplies,"Material H&ling, Storage & Packaging",Industrial Truck & Parts,Industrial Truck & Parts,Industrial Truck & Parts,0.5461421794687901
ED Oven Filter (250*C) 608 x 608 x 290,Mro Supplies,Hvac,Refrigeration,Refrigeration,Filter,0.6185490222969674
DUNGRAY SIZE EXTRA EXTRA LARGE(XXL),Mro Supplies,Apparel & Luggage & Personal Care Products,Clothing,Clothing,Clothing,0.5642034971818157
PAPER XEROX SIZE A4 CENTURY BRAND,Mro Supplies,Laboratory & Measuring & Observing & Testing Equipment,Measuring & Observing & Testing Instruments,Temperature & Heat Measuring Instruments,Thermal Paper,0.5438926710360181
GANJEE CLOTH 40mm WIDTH IN  RUNNG LENGTH,Mro Supplies,Industrial Manufacturing & Processing Machinery & Accessories,Grinding & Polishing & Smoothing Materials,Abrasives & Abrasive Media,Abrasive Cloth,0.5631647620851136
